iter	Passed	Remaining
406	6499	9470
407	6511	9448
408	6525	9429
409	6543	9416
410	6557	9397
411	6569	9376
412	6586	9361
413	6604	9347
414	6618	9330
415	6629	9306
416	6645	9290
417	6656	9267
418	6668	9247
419	6684	9230
420	6696	9210
421	6712	9194
422	6729	9179
423	6743	9161
424	6755	9140
425	6771	9123
426	6788	9109
427	6800	9088
428	6815	9071
429	6831	9055
430	6847	9040
431	6862	9022
432	6874	9001
433	6887	8981
434	6902	8965
435	6917	8948
436	6932	8931
437	6944	8909
438	6958	8892
439	6974	8876
440	6988	8858
441	7002	8839
442	7019	8825
443	7035	8810
444	7047	8789
445	7060	8770
446	7075	8753
447	7087	8732
448	7101	8714
449	7116	8698
450	7128	8677
451	7142	8658
452	7158	8643
453	7174	8628
454	7186	8607
455	7202	8592
456	7217	8576
457	7228	8553
458	7241	8535
459	7253	8514
460	7266	8495
461	7282	8480
462	7295	8461
463	7309	8444
464	7327	8430
465	7343	8414
466	7355	8394
467	7368	8376
468	7383	8359
469	7395	8339
470	7410	8323
471	7429	8310
472	7445	8295
473	7457	8275
474	7470	8257
475	7483	8238
476	7495	8218
477	7510	8201
478	7522	8182
479	7536	8164
480	7553	8149
481	7566	8131
482	7578	8111
483	7593	8095
484	7609	8079
485	7620	8059
486	7637	8045
487	7652	8029
488	7665	8010
489	7678	7992
490	7695	7977
491	7711	7962
492	7726	7945
493	7739	7927
494	7753	7910
495	7767	7892
496	7780	7874
497	7794	7857
498	7808	7839
499	7823	7823
500	7842	7810
501	7858	7795
502	7871	7777
503	7884	7759
504	7900	7743
505	7911	7724
506	7926	7707
507	7943	7693
508	7958	7676
509	7969	7657
510	7984	7640
511	7997	7622
512	8009	7603
513	8025	7588
514	8041	7572
515	8052	7553
516	8068	7537
517	8082	7521
518	8096	7503
519	8108	7485
520	8124	7469
521	8136	7451
522	8151	7434
523	8168	7420
524	8182	7403
525	8196	7385
526	8210	7369
527	8227	7355
528	8241	7337
529	8254	7320
530	8272	7306
531	8286	7289
532	8298	7270
533	8314	7255
534	8327	7238
535	8342	7221
536	8357	7205
537	8372	7190
538	8385	7171
539	8399	7154
540	8414	7139
541	8427	7121
542	8441	7104
543	8458	7089
544	8473	7074
545	8485	7055
546	8501	7040
547	8517	7025
548	8530	7007
549	8545	6991
550	8561	6976
551	8574	6958
552	8589	6943
553	8603	6925
554	8617	6909
555	8627	6889
556	8644	6874
557	8660	6860
558	8676	6844
559	8690	6828
560	8704	6811
561	8717	6793
562	8728	6775
563	8744	6760
564	8760	6744
565	8775	6728
566	8789	6712
567	8806	6697
568	8831	6689
569	8848	6675
570	8862	6658
571	8878	6643
572	8893	6627
573	8910	6612
574	8925	6597
575	8938	6579
576	8953	6564
577	8970	6549
578	8981	6530
579	8996	6514
580	9013	6500
581	9027	6483
582	9043	6468
583	9057	6451
584	9073	6437
585	9090	6421
586	9102	6404
587	9117	6388
588	9133	6373
589	9147	6356
590	9160	6339
591	9176	6324
592	9191	6308
593	9204	6291
594	9219	6275
595	9233	6259
596	9245	6240
597	9262	6226
598	9276	6210
599	9293	6195
600	9306	6178
601	9320	6162
602	9332	6144
603	9345	6126
604	9360	6111
605	9372	6093
606	9386	6077
607	9405	6064
608	9419	6047
609	9432	6030
610	9446	6014
611	9462	5999
612	9473	5981
613	9489	5965
614	9505	5950
615	9519	5933
616	9532	5917
617	9548	5902
618	9564	5887
619	9582	5873
620	9595	5855
621	9611	5841
622	9626	5825
623	9638	5807
624	9652	5791
625	9667	5776
626	9684	5761
627	9701	5746
628	9715	5730
629	9732	5715
630	9748	5701
631	9761	5684
632	9775	5667
633	9794	5654
634	9810	5639
635	9829	5625
636	9841	5608
637	9857	5592
638	9873	5577
639	9887	5561
640	9902	5546
641	9920	5532
642	9936	5516
643	9950	5500
644	9962	5483
645	9979	5468
646	9995	5453
647	10007	5436
648	10022	5420
649	10040	5406
650	10054	5390
651	10066	5373
652	10085	5359
653	10101	5344
654	10116	5328
655	10129	5311
656	10145	5296
657	10161	5281
658	10176	5265
659	10189	5249
660	10207	5234
661	10222	5219
662	10236	5202
663	10249	5186
664	10264	5170
665	10280	5155
666	10293	5139
667	10310	5124
668	10327	5109
669	10340	5093
670	10353	5076
671	10366	5059
672	10380	5043
673	10401	5031
674	10417	5015
675	10431	4999
676	10446	4984
677	10456	4966
678	10474	4951
679	10491	4937
680	10508	4922
681	10524	4907
682	10538	4891
683	10555	4876
684	10572	4861
685	10584	4844
686	10598	4828
687	10612	4812
688	10628	4797
689	10642	4781
690	10657	4765
691	10670	4749
692	10682	4732
693	10698	4717
694	10713	4701
695	10726	4685
696	10743	4670
697	10759	4655
698	10774	4639
699	10786	4622
700	10801	4607
701	10817	4592
702	10831	4576
703	10845	4559
704	10859	4544
705	10873	4527
706	10887	4512
707	10903	4496
708	10919	4481
709	10932	4465
710	10948	4450
711	10963	4434
712	10976	4418
713	10989	4401
714	11003	4385
715	11018	4370
716	11035	4355
717	11049	4339
718	11066	4325
719	11080	4309
720	11092	4292
721	11109	4277
722	11123	4261
723	11136	4245
724	11152	4230
725	11169	4215
726	11181	4198
727	11192	4181
728	11207	4166
729	11218	4149
730	11235	4134
731	11249	4118
732	11262	4102
733	11279	4087
734	11293	4071
735	11308	4056
736	11320	4039
737	11336	4024
738	11350	4008
739	11364	3992
740	11380	3977
741	11396	3962
742	11409	3946
743	11421	3930
744	11438	3915
745	11451	3898
746	11464	3882
747	11485	3869
748	11504	3855
749	11528	3842
750	11553	3830
751	11576	3817
752	11598	3804
753	11625	3792
754	11650	3780
755	11674	3767
756	11693	3753
757	11721	3742
758	11747	3730
759	11769	3716
760	11785	3701
761	11800	3685
762	11813	3669
763	11832	3654
764	11848	3639
765	11862	3623
766	11875	3607
767	11891	3592
768	11904	3576
769	11915	3559
770	11932	3544
771	11943	3527
772	11958	3511
773	11973	3496
774	11985	3479
775	11999	3463
776	12014	3448
777	12026	3431
778	12040	3415
779	12056	3400
780	12070	3384
781	12085	3368
782	12101	3353
783	12117	3338
784	12132	3323
785	12148	3307
786	12162	3291
787	12180	3276
788	12194	3261
789	12205	3244
790	12222	3229
791	12241	3214
792	12260	3200
793	12272	3184
794	12287	3168
795	12302	3152
796	12321	3138
797	12340	3123
798	12358	3108
799	12381	3095
800	12405	3082
801	12425	3067
802	12444	3053
803	12469	3039
804	12490	3025
805	12513	3012
806	12536	2998
807	12555	2983
808	12578	2969
809	12602	2956
810	12619	2940
811	12634	2925
812	12647	2909
813	12658	2892
814	12676	2877
815	12690	2861
816	12704	2845
817	12718	2829
818	12733	2814
819	12747	2798
820	12759	2781
821	12776	2766
822	12793	2751
823	12807	2735
824	12820	2719
825	12836	2703
826	12849	2688
827	12866	2672
828	12880	2656
829	12897	2641
830	12909	2625
831	12923	2609
832	12940	2594
833	12953	2578
834	12967	2562
835	12983	2546
836	13000	2531
837	13013	2515
838	13026	2499
839	13046	2485
840	13063	2469
841	13078	2454
842	13094	2438
843	13111	2423
844	13130	2408
845	13152	2394
846	13168	2378
847	13186	2363
848	13205	2348
849	13222	2333
850	13242	2318
851	13257	2303
852	13277	2288
853	13296	2273
854	13317	2258
855	13336	2243
856	13356	2228
857	13377	2213
858	13399	2199
859	13411	2183
860	13431	2168
861	13456	2154
862	13476	2139
863	13496	2124
864	13516	2109
865	13537	2094
866	13557	2079
867	13578	2065
868	13598	2050
869	13619	2035
870	13637	2019
871	13655	2004
872	13680	1990
873	13698	1974
874	13718	1959
875	13739	1944
876	13758	1929
877	13780	1914
878	13798	1899
879	13816	1884
