iter	Passed	Remaining
0	332	332205
1	681	340211
2	1038	344999
3	1389	345902
4	1732	344696
5	2051	339913
6	2382	337938
7	2639	327298
8	2918	321351
9	3224	319273
10	3615	325021
11	4026	331509
12	4353	330560
13	4654	327840
14	4993	327921
15	5298	325832
16	5620	324993
17	5914	322685
18	6210	320659
19	6531	320057
20	6875	320538
21	7172	318834
22	7482	317853
23	7774	316171
24	8052	314042
25	8346	312664
26	8658	312017
27	9012	312860
28	9333	312509
29	9685	313168
30	10011	312940
31	10352	313153
32	10647	312010
33	10942	310904
34	11246	310075
35	11555	309432
36	11850	308429
37	12144	307460
38	12468	307233
39	12788	306917
40	13085	306064
41	13403	305731
42	13599	302657
43	13789	299608
44	13977	296643
45	14173	293942
46	14365	291283
47	14558	288750
48	14747	286225
49	14936	283790
50	15119	281333
51	15324	279368
52	15574	278280
53	15782	276491
54	15977	274521
55	16182	272786
56	16449	272131
57	16638	270235
58	16892	269415
59	17208	269593
60	17503	269432
61	17773	268892
62	18102	269234
63	18514	270781
64	18898	271850
65	19292	273018
66	19613	273129
67	19944	273363
68	20159	272001
69	20372	270665
70	20586	269367
71	20794	268013
72	21024	266980
73	21213	265453
74	21401	263951
75	21597	262575
76	21788	261183
77	21991	259948
78	22185	258639
79	22443	258101
80	22749	258109
81	23047	258020
82	23279	257201
83	23476	256007
84	23667	254769
85	23863	253621
86	24083	252733
87	24275	251586
88	24472	250504
89	24664	249387
90	24857	248297
91	25060	247333
92	25248	246240
93	25447	245267
94	25634	244199
95	25827	243204
96	26028	242305
97	26225	241377
98	26418	240432
99	26611	239505
100	26801	238556
101	27002	237731
102	27201	236886
103	27393	236007
104	27590	235172
105	27790	234385
106	27992	233620
107	28186	232802
108	28383	232013
109	28580	231238
110	28773	230445
111	28980	229773
112	29169	228964
113	29358	228173
114	29562	227500
115	29759	226785
116	29963	226134
117	30161	225446
118	30364	224795
119	30563	224132
120	30759	223452
121	30982	222968
122	31192	222401
123	31383	221709
124	31590	221134
125	31783	220464
126	31995	219937
127	32193	219319
128	32393	218720
129	32590	218103
130	32782	217467
131	32985	216906
132	33177	216280
133	33372	215676
134	33577	215142
135	33772	214551
136	33979	214047
137	34188	213556
138	34386	212999
139	34585	212454
140	34780	211887
141	34986	211399
142	35190	210896
143	35495	211000
144	35784	211005
145	36073	211003
146	36323	210777
147	36526	210271
148	36723	209744
149	36950	209383
150	37157	208918
151	37367	208470
152	37697	208693
153	38013	208829
154	38394	209313
155	38744	209619
156	39043	209641
157	39375	209834
158	39688	209923
159	39970	209844
160	40276	209886
161	40570	209866
162	40881	209926
163	41185	209948
164	41562	210332
165	41881	210417
166	42191	210451
167	42498	210467
168	42821	210559
169	43151	210678
170	43519	210981
171	43876	211220
172	44233	211450
173	44536	211422
174	44893	211641
175	45218	211702
176	45515	211632
177	45808	211541
178	46103	211457
179	46416	211454
180	46720	211406
181	47036	211406
182	47366	211468
183	47735	211696
184	48102	211910
185	48434	211964
186	48744	211919
187	49036	211797
188	49357	211792
189	49682	211804
190	50028	211900
191	50359	211930
192	50687	211941
193	50998	211878
194	51297	211764
195	51684	212011
196	52161	212617
197	52700	213463
198	53110	213775
199	53523	214092
200	53950	214461
201	54361	214755
202	54789	215108
203	55118	215068
204	55427	214951
205	55731	214810
206	56038	214678
207	56338	214519
208	56694	214569
209	57155	215014
210	57511	215053
211	57804	214860
212	58103	214682
213	58403	214510
214	58701	214329
215	59046	214318
216	59416	214392
217	59779	214439
218	60167	214570
219	60576	214769
220	60954	214858
221	61324	214912
222	61730	215086
223	62141	215275
224	62625	215710
225	63035	215883
226	63429	215996
227	63782	215966
228	64132	215922
229	64518	215997
230	64924	216135
231	65395	216482
232	65897	216923
233	66397	217353
234	66793	217435
235	67121	217291
236	67487	217270
237	67923	217469
238	68318	217534
239	68742	217685
240	69116	217674
241	69492	217667
242	70059	218250
243	70622	218814
244	71085	219059
245	71513	219192
246	71973	219417
247	72353	219395
248	72783	219520
249	73352	220056
250	73792	220201
251	74225	220320
252	74640	220380
253	75086	220529
254	75511	220613
255	75948	220724
256	76367	220781
257	76772	220796
258	77157	220746
259	77616	220909
260	78048	220987
261	78433	220930
262	78813	220857
263	79108	220544
264	79451	220365
265	79843	220320
266	80210	220203
267	80581	220095
268	80965	220022
269	81316	219854
270	81593	219489
271	81802	218942
272	82017	218412
273	82236	217896
274	82469	217419
275	82682	216891
276	82891	216356
277	83099	215820
278	83307	215285
279	83517	214759
280	83775	214357
281	84017	213915
282	84231	213406
283	84461	212938
284	84700	212493
285	84960	212104
286	85192	211645
287	85430	211204
288	85630	210668
289	85830	210136
290	86089	209750
291	86289	209223
292	86486	208688
293	86681	208152
294	86881	207632
295	87083	207118
296	87292	206622
297	87498	206120
298	87705	205623
299	87916	205138
300	88132	204665
301	88468	204472
302	88834	204349
303	89192	204204
304	89499	203942
305	89818	203705
306	90131	203455
307	90464	203251
308	90785	203017
309	91104	202779
310	91428	202553
311	91747	202314
312	92064	202070
313	92408	201886
314	92741	201676
315	93054	201422
316	93368	201168
317	93682	200916
318	94026	200726
319	94391	200582
320	94716	200349
321	95010	200052
322	95240	199622
323	95620	199505
324	95837	199046
325	96034	198550
326	96236	198065
327	96438	197580
328	96647	197114
329	96842	196619
330	97044	196140
331	97311	195795
332	97525	195343
333	97723	194862
334	97921	194382
335	98120	193904
336	98319	193429
337	98514	192947
338	98709	192468
339	98906	191994
340	99109	191533
341	99310	191071
342	99507	190601
343	99703	190131
344	99901	189667
345	100097	189202
346	100298	188746
347	100497	188287
348	100695	187829
349	100894	187374
350	101088	186913
351	101285	186457
352	101485	186009
353	101689	185568
354	101888	185122
355	102086	184673
356	102297	184250
357	102508	183828
358	102727	183421
359	102926	182981
360	103125	182540
361	103322	182098
362	103518	181656
363	103713	181213
364	103908	180772
365	104105	180336
366	104311	179915
367	104516	179495
368	104719	179073
369	104922	178651
370	105145	178264
371	105351	177851
372	105561	177445
373	105759	177019
